half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,78,78,
1,19,39,Frank Kaminsky makes a jump shot from 16 feet out.,110238,,true,false,false,Frank,,Kaminsky,,Wisc,,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,16,-14,8.1,82,82,
1,19,06,Dave Sobolewski makes a 3-point jump shot from 23 feet out. Drew Crawford with the assist.,109548,88698,true,true,false,Dave,Drew,Sobolewski,Crawford,NW,NW,3,2,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,12.7,19,78,78,
1,18,50,Traevon Jackson misses a layup shot.,110236,,true,false,false,Traevon,,Jackson,,Wisc,,3,2,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,82,82,
1,18,50,Sanjay Lumpkin with a defensive rebound.,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,3,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,18,24,Dave Sobolewski misses a jump shot from 19 feet out.,109548,,true,false,false,Dave,,Sobolewski,,NW,,3,2,0,0,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,19,-9.6,16.9,78,78,
1,18,24,Drew Crawford with an offensive rebound.,88698,,true,false,false,Drew,,Crawford,,NW,,3,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,78,78,
1,17,54,Drew Crawford misses a jump shot from 19 feet out.,88698,,true,false,false,Drew,,Crawford,,NW,,3,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,-2,19.3,78,78,
1,17,54,Traevon Jackson with a defensive rebound.,110236,,true,false,false,Traevon,,Jackson,,Wisc,,3,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,82,82,
1,17,45,Sam Dekker misses a 3-point jump shot from 23 feet out.,116210,,true,false,false,Sam,,Dekker,,Wisc,,3,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,.9,22.9,82,82,
