half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,73,73,
1,19,42,Noah Vonleh misses a jump shot from 18 feet out.,121075,,true,false,false,Noah,,Vonleh,,Ind,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,-17.6,-.4,73,73,
1,19,42,Drew Crawford with a defensive rebound.,88698,,true,false,false,Drew,,Crawford,,NW,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,19,26,Alex Olah with a lost ball turnover: Lost Ball,116199,,true,false,false,Alex,,Olah,,NW,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,78,78,
1,19,13,Will Sheehey with a lost ball turnover: Lost Ball,97590,,true,false,false,Will,,Sheehey,,Ind,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,73,73,
1,19,01,Drew Crawford misses a 3-point jump shot from 26 feet out.,88698,,true,false,false,Drew,,Crawford,,NW,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,-3,25,78,78,
1,19,01,Noah Vonleh with a defensive rebound.,121075,,true,false,false,Noah,,Vonleh,,Ind,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,73,73,
1,18,44,Troy Williams with a lost ball turnover: Lost Ball,121077,,true,false,false,Troy,,Williams,,Ind,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,73,73,
1,18,28,Kale Abrahamson makes a 3-point jump shot from 23 feet out. Drew Crawford with the assist.,116198,88698,true,true,false,Kale,Drew,Abrahamson,Crawford,NW,NW,0,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,15.4,16.6,78,78,
1,18,16,Noah Vonleh makes a 3-point jump shot from 24 feet out. Yogi Ferrell with the assist.,121075,116724,true,true,false,Noah,Yogi,Vonleh,Ferrell,Ind,Ind,3,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-2,24,73,73,
1,17,58,Alex Olah misses a 3-point jump shot from 25 feet out.,116199,,true,false,false,Alex,,Olah,,NW,,3,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-2.6,24.4,78,78,
1,17,58,Evan Gordon with a defensive rebound.,88325,,true,false,false,Evan,,Gordon,,Ind,,3,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,73,73,
1,17,25,Evan Gordon misses a 3-point jump shot from 28 feet out.,88325,,true,false,false,Evan,,Gordon,,Ind,,3,3,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,28,5.2,27.5,73,73,
1,17,25,JerShon Cobb with a defensive rebound.,97398,,true,false,false,JerShon,,Cobb,,NW,,3,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,17,17,JerShon Cobb misses a jump shot from 19 feet out.,97398,,true,false,false,JerShon,,Cobb,,NW,,3,3,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,-3,18,78,78,
1,17,17,Noah Vonleh with a defensive rebound.,121075,,true,false,false,Noah,,Vonleh,,Ind,,3,3,0,0,0,,,,,3,,,,6,Defensive Rebound,,,,73,73,
1,17,16,Personal foul committed by Sanjay Lumpkin.,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,3,3,1,0,1,,,,,0,,1,Personal,8,Foul,,,,78,78,
1,16,52,Yogi Ferrell with a lost ball turnover: Lost Ball,116724,,true,false,false,Yogi,,Ferrell,,Ind,,3,3,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,73,73,
1,16,33,Sanjay Lumpkin misses a 3-point jump shot from 23 feet out.,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,3,3,1,0,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,18.1,14.2,78,78,
1,16,33,Noah Vonleh with a defensive rebound.,121075,,true,false,false,Noah,,Vonleh,,Ind,,3,3,1,0,0,,,,,3,,,,6,Defensive Rebound,,,,73,73,
1,16,26,Yogi Ferrell with a palming turnover turnover: Palming Turnover,116724,,true,false,false,Yogi,,Ferrell,,Ind,,3,3,1,0,0,,,,,0,,21,Palming Turnover,7,Turnover,,,,73,73,
1,16,02,Sanjay Lumpkin misses a layup shot.,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,3,3,1,0,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,78,78,
1,16,02,JerShon Cobb with an offensive rebound.,97398,,true,false,false,JerShon,,Cobb,,NW,,3,3,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,78,78,
1,15,56,Sanjay Lumpkin with a lost ball turnover: Lost Ball,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,3,3,1,0,1,,,,,0,,2,Lost Ball,7,Turnover,,,,78,78,
1,15,24,Evan Gordon misses a layup shot.,88325,,true,false,false,Evan,,Gordon,,Ind,,3,3,1,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,73,73,
1,15,24,JerShon Cobb with a defensive rebound.,97398,,true,false,false,JerShon,,Cobb,,NW,,3,3,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,15,07,Alex Olah misses a hook shot from 8 feet out.,116199,,true,false,false,Alex,,Olah,,NW,,3,3,1,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,8,5.9,4.7,78,78,
1,15,07,Noah Vonleh with a defensive rebound.,121075,,true,false,false,Noah,,Vonleh,,Ind,,3,3,1,0,0,,,,,3,,,,6,Defensive Rebound,,,,73,73,
1,14,59,Yogi Ferrell misses a jump shot from 8 feet out.,116724,,true,false,false,Yogi,,Ferrell,,Ind,,3,3,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,8,-4,6.4,73,73,
1,14,59,Drew Crawford with a defensive rebound.,88698,,true,false,false,Drew,,Crawford,,NW,,3,3,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,14,50,JerShon Cobb misses a 3-point jump shot from 23 feet out.,97398,,true,false,false,JerShon,,Cobb,,NW,,3,3,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,13.4,18.3,78,78,
1,14,50,NW with an offensive rebound.,,,false,false,false,,,,,,,3,3,1,0,0,,,,,0,,,,5,Offensive Rebound,,,,78,78,
1,14,49,Official TV timeout.,,,false,false,false,,,,,,,3,3,1,0,0,,,,,0,,3,Official TV,11,Timeout,,,,73,73,
1,14,21,JerShon Cobb misses a jump shot from 19 feet out.,97398,,true,false,false,JerShon,,Cobb,,NW,,3,3,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,15.1,11.8,78,78,
1,14,21,Ind with a defensive rebound.,,,false,false,false,,,,,,,3,3,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,73,73,
