half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,78,78,
1,19,44,A.J. Hammons with a bad pass turnover: Bad Pass,116206,,true,false,false,A.J.,,Hammons,,Purdue,,0,0,0,0,0,,,,,0,,1,Bad Pass,7,Turnover,,,,81,81,
1,19,17,Alex Olah misses a jump shot from 6 feet out.,116199,,true,false,false,Alex,,Olah,,NW,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,6,.6,6.2,78,78,
1,19,17,Terone Johnson with a defensive rebound.,97096,,true,false,false,Terone,,Johnson,,Purdue,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,81,81,
1,19,17,Terone Johnson misses a layup shot.,97096,,true,false,false,Terone,,Johnson,,Purdue,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,81,81,
1,19,17,Purdue with an offensive rebound.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,81,81,
1,19,06,Personal foul committed by Alex Olah.,116199,,true,false,false,Alex,,Olah,,NW,,0,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,78,78,
1,19,05,Personal foul committed by Sanjay Lumpkin.,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,0,0,0,2,1,,,,,0,,1,Personal,8,Foul,,,,78,78,
1,18,53,Ronnie Johnson makes a 3-point jump shot from 22 feet out. Basil Smotherman with the assist.,116207,120666,true,true,false,Ronnie,Basil,Johnson,Smotherman,Purdue,Purdue,0,3,0,2,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,-19.5,11.1,81,81,
1,18,25,Drew Crawford makes a layup shot.,88698,,true,false,false,Drew,,Crawford,,NW,,2,3,0,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,78,78,
1,18,00,Terone Johnson misses a jump shot from 10 feet out.,97096,,true,false,false,Terone,,Johnson,,Purdue,,2,3,0,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,5.4,8.1,81,81,
1,18,00,Purdue with an offensive rebound.,,,false,false,false,,,,,,,2,3,0,2,0,,,,,0,,,,5,Offensive Rebound,,,,81,81,
1,17,42,Ronnie Johnson makes a jump shot from 19 feet out.,116207,,true,false,false,Ronnie,,Johnson,,Purdue,,2,5,0,2,0,,,,,5,2,45,Jump Shot,3,Field Goal Made,19,13.4,13.3,81,81,
1,17,16,Shooting foul committed by Ronnie Johnson.,116207,,true,false,false,Ronnie,,Johnson,,Purdue,,2,5,1,2,1,,,,,5,,2,Shooting,8,Foul,,,,81,81,
1,17,16,JerShon Cobb makes free throw 1 of 2.,97398,,true,false,false,JerShon,,Cobb,,NW,,3,5,1,2,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,78,78,
1,17,16,JerShon Cobb misses free throw 2 of 2.,97398,,true,false,false,JerShon,,Cobb,,NW,,3,5,1,2,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,78,78,
1,17,16,Basil Smotherman with a defensive rebound.,120666,,true,false,false,Basil,,Smotherman,,Purdue,,3,5,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,81,81,
1,16,58,Rapheal Davis makes a jump shot from 17 feet out. Terone Johnson with the assist.,116205,97096,true,true,false,Rapheal,Terone,Davis,Johnson,Purdue,Purdue,3,7,1,2,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,17,-12,12,81,81,
1,16,37,Alex Olah misses a 3-point jump shot from 25 feet out.,116199,,true,false,false,Alex,,Olah,,NW,,3,7,1,2,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,10.8,22.4,78,78,
1,16,37,Basil Smotherman with a defensive rebound.,120666,,true,false,false,Basil,,Smotherman,,Purdue,,3,7,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,81,81,
1,16,26,A.J. Hammons misses a jump shot from 19 feet out.,116206,,true,false,false,A.J.,,Hammons,,Purdue,,3,7,1,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,6.4,17.4,81,81,
1,16,26,Kale Abrahamson with a defensive rebound.,116198,,true,false,false,Kale,,Abrahamson,,NW,,3,7,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,16,06,Drew Crawford misses a jump shot from 14 feet out.,88698,,true,false,false,Drew,,Crawford,,NW,,3,7,1,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,14,14,1.8,78,78,
1,16,06,A.J. Hammons with a defensive rebound.,116206,,true,false,false,A.J.,,Hammons,,Purdue,,3,7,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,81,81,
1,15,57,Ronnie Johnson misses a layup shot.,116207,,true,false,false,Ronnie,,Johnson,,Purdue,,3,7,1,2,1,,,,,5,2,40,Layup Shot,4,Field Goal Missed,0,0,0,81,81,
1,15,57,Alex Olah with a defensive rebound.,116199,,true,false,false,Alex,,Olah,,NW,,3,7,1,2,1,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,15,48,Official TV timeout.,,,false,false,false,,,,,,,3,7,1,2,0,,,,,0,,3,Official TV,11,Timeout,,,,78,78,
1,15,43,Drew Crawford misses a jump shot from 16 feet out.,88698,,true,false,false,Drew,,Crawford,,NW,,3,7,1,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,16,14,8,78,78,
1,15,43,Terone Johnson with a defensive rebound.,97096,,true,false,false,Terone,,Johnson,,Purdue,,3,7,1,2,0,,,,,0,,,,6,Defensive Rebound,,,,81,81,
1,15,32,Rapheal Davis with a lost ball turnover: Lost Ball,116205,,true,false,false,Rapheal,,Davis,,Purdue,,3,7,1,2,0,,,,,2,,2,Lost Ball,7,Turnover,,,,81,81,
1,15,01,Personal foul committed by Rapheal Davis.,116205,,true,false,false,Rapheal,,Davis,,Purdue,,3,7,2,2,1,,,,,2,,1,Personal,8,Foul,,,,81,81,
1,14,56,Tre Demps misses a jump shot from 11 feet out.,109549,,true,false,false,Tre,,Demps,,NW,,3,7,2,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,11,-11,3,78,78,
1,14,56,Kendall Stephens with a defensive rebound.,120667,,true,false,false,Kendall,,Stephens,,Purdue,,3,7,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,81,81,
1,14,30,Bryson Scott misses a jump shot from 13 feet out.,120665,,true,false,false,Bryson,,Scott,,Purdue,,3,7,2,2,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,-2,12.5,81,81,
1,14,30,Bryson Scott with an offensive rebound.,120665,,true,false,false,Bryson,,Scott,,Purdue,,3,7,2,2,0,,,,,0,,,,5,Offensive Rebound,,,,81,81,
1,14,25,Kendall Stephens misses a 3-point jump shot from 23 feet out.,120667,,true,false,false,Kendall,,Stephens,,Purdue,,3,7,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-22.5,3.6,81,81,
1,14,25,JerShon Cobb with a defensive rebound.,97398,,true,false,false,JerShon,,Cobb,,NW,,3,7,2,2,0,,,,,1,,,,6,Defensive Rebound,,,,78,78,
1,14,10,Alex Olah misses a hook shot from 9 feet out.,116199,,true,false,false,Alex,,Olah,,NW,,3,7,2,2,1,,,,,0,2,55,Hook Shot,4,Field Goal Missed,9,7.7,5.3,78,78,
1,14,10,Jay Simpson with a defensive rebound.,116208,,true,false,false,Jay,,Simpson,,Purdue,,3,7,2,2,0,,,,,0,,,,6,Defensive Rebound,,,,81,81,
1,13,41,Jay Simpson misses a 3-point jump shot from 22 feet out.,116208,,true,false,false,Jay,,Simpson,,Purdue,,3,7,2,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,8.1,20.7,81,81,
1,13,41,JerShon Cobb with a defensive rebound.,97398,,true,false,false,JerShon,,Cobb,,NW,,3,7,2,2,0,,,,,1,,,,6,Defensive Rebound,,,,78,78,
1,13,31,JerShon Cobb makes a jump shot from 15 feet out.,97398,,true,false,false,JerShon,,Cobb,,NW,,5,7,2,2,0,,,,,3,2,45,Jump Shot,3,Field Goal Made,15,-6.2,13.5,78,78,
1,13,14,Jay Simpson misses a layup shot.,116208,,true,false,false,Jay,,Simpson,,Purdue,,5,7,2,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,81,81,
1,13,14,Alex Olah with a defensive rebound.,116199,,true,false,false,Alex,,Olah,,NW,,5,7,2,2,1,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,13,06,Drew Crawford misses a 3-point jump shot from 23 feet out.,88698,,true,false,false,Drew,,Crawford,,NW,,5,7,2,2,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,23,-5.9,22.4,78,78,
