half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,89,89,
1,19,35,David Rivers misses a jump shot from 15 feet out.,110301,,true,false,false,David,,Rivers,,Neb,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,15,-9,12,89,89,
1,19,35,Neb with an offensive rebound.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,89,89,
1,19,33,Personal foul committed by Dave Sobolewski.,109548,,true,false,false,Dave,,Sobolewski,,NW,,0,0,1,0,1,,,,,0,,1,Personal,8,Foul,,,,78,78,
1,19,29,Tai Webster with a lost ball turnover: Lost Ball,122099,,true,false,false,Tai,,Webster,,Neb,,0,0,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,89,89,
1,19,26,Sanjay Lumpkin with a traveling turnover: Traveling,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,0,0,1,0,0,,,,,0,,4,Traveling,7,Turnover,,,,78,78,
1,19,18,Tai Webster with a lost ball turnover: Lost Ball,122099,,true,false,false,Tai,,Webster,,Neb,,0,0,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,89,89,
1,19,03,Tre Demps misses a jump shot from 14 feet out.,109549,,true,false,false,Tre,,Demps,,NW,,0,0,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,11.3,8.2,78,78,
1,19,03,Walter Pitchford with a defensive rebound.,110262,,true,false,false,Walter,,Pitchford,,Neb,,0,0,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,89,89,
1,18,54,Terran Petteway with a lost ball turnover: Lost Ball,110830,,true,false,false,Terran,,Petteway,,Neb,,0,0,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,89,89,
1,18,34,Drew Crawford with a traveling turnover: Traveling,88698,,true,false,false,Drew,,Crawford,,NW,,0,0,1,0,0,,,,,0,,4,Traveling,7,Turnover,,,,78,78,
1,18,21,Tai Webster with a traveling turnover: Traveling,122099,,true,false,false,Tai,,Webster,,Neb,,0,0,1,0,0,,,,,0,,4,Traveling,7,Turnover,,,,89,89,
1,18,09,Dave Sobolewski makes a 3-point jump shot from 22 feet out. Alex Olah with the assist.,109548,116199,true,true,false,Dave,Alex,Sobolewski,Olah,NW,NW,0,3,1,0,1,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,-15,17,78,78,
1,17,55,Walter Pitchford makes a 3-point jump shot from 22 feet out. Terran Petteway with the assist.,110262,110830,true,true,false,Walter,Terran,Pitchford,Petteway,Neb,Neb,3,3,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,22,6,21,89,89,
1,17,37,Shooting foul committed by David Rivers.,110301,,true,false,false,David,,Rivers,,Neb,,3,3,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,89,89,
1,17,37,Alex Olah misses free throw 1 of 2.,116199,,true,false,false,Alex,,Olah,,NW,,3,3,1,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,78,78,
1,17,37,NW with an offensive rebound.,,,false,false,false,,,,,,,3,3,1,1,0,,,,,0,,,,5,Offensive Rebound,,,,78,78,
