half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,76,76,
1,19,38,Adreian Payne with a lost ball turnover: Lost Ball,97677,,true,false,false,Adreian,,Payne,,MSU,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,76,76,
1,19,32,Drew Crawford makes a layup shot.,88698,,true,false,false,Drew,,Crawford,,NW,,0,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,78,78,
1,19,07,Branden Dawson misses a jump shot from 6 feet out.,110403,,true,false,false,Branden,,Dawson,,MSU,,0,2,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,6,1,6,76,76,
1,19,07,Branden Dawson with an offensive rebound.,110403,,true,false,false,Branden,,Dawson,,MSU,,0,2,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,76,76,
1,19,04,Branden Dawson makes a layup shot.,110403,,true,false,false,Branden,,Dawson,,MSU,,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,76,76,
1,18,40,Shooting foul committed by Adreian Payne.,97677,,true,false,false,Adreian,,Payne,,MSU,,2,2,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,76,76,
1,18,40,Alex Olah misses free throw 1 of 2.,116199,,true,false,false,Alex,,Olah,,NW,,2,2,0,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,78,78,
1,18,40,NW with an offensive rebound.,,,false,false,false,,,,,,,2,2,0,1,0,,,,,0,,,,5,Offensive Rebound,,,,78,78,
1,18,40,Alex Olah makes free throw 2 of 2.,116199,,true,false,false,Alex,,Olah,,NW,,2,3,0,1,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,78,78,
