half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,74,74,
1,19,35,Personal foul committed by Roy Devyn Marble.,97656,,true,false,false,Roy Devyn,,Marble,,Iowa,,0,0,0,1,1,,,,,0,,1,Personal,8,Foul,,,,74,74,
1,19,28,Dave Sobolewski with a bad pass turnover: Bad Pass,109548,,true,false,false,Dave,,Sobolewski,,NW,,0,0,0,1,0,,,,,0,,1,Bad Pass,7,Turnover,,,,78,78,
1,19,16,Adam Woodbury with a lost ball turnover: Lost Ball,116765,,true,false,false,Adam,,Woodbury,,Iowa,,0,0,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,74,74,
1,18,53,Dave Sobolewski with a lost ball turnover: Lost Ball,109548,,true,false,false,Dave,,Sobolewski,,NW,,0,0,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,78,78,
1,18,49,Shooting foul committed by Dave Sobolewski.,109548,,true,false,false,Dave,,Sobolewski,,NW,,0,0,1,1,1,,,,,0,,2,Shooting,8,Foul,,,,78,78,
1,18,49,Aaron White makes free throw 1 of 2.,110455,,true,false,false,Aaron,,White,,Iowa,,1,0,1,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,74,74,
1,18,49,Aaron White makes free throw 2 of 2.,110455,,true,false,false,Aaron,,White,,Iowa,,2,0,1,1,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,74,74,
1,18,41,NW take a 20-second timeout.,,,false,false,false,,,,,,,2,0,1,1,0,,,,,0,,2,Short,11,Timeout,,,,78,78,
1,18,14,Sanjay Lumpkin misses a jump shot from 14 feet out.,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,2,0,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,-12.2,7.2,78,78,
1,18,14,Adam Woodbury with a defensive rebound.,116765,,true,false,false,Adam,,Woodbury,,Iowa,,2,0,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,74,74,
1,17,56,Adam Woodbury with a lost ball turnover: Lost Ball,116765,,true,false,false,Adam,,Woodbury,,Iowa,,2,0,1,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,74,74,
1,17,44,JerShon Cobb misses a 3-point jump shot from 23 feet out.,97398,,true,false,false,JerShon,,Cobb,,NW,,2,0,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,7.7,22,78,78,
1,17,44,Melsahn Basabe with a defensive rebound.,97658,,true,false,false,Melsahn,,Basabe,,Iowa,,2,0,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,74,74,
1,17,28,Adam Woodbury makes a jump shot from 18 feet out. Aaron White with the assist.,116765,110455,true,true,false,Adam,Aaron,Woodbury,White,Iowa,Iowa,4,0,1,1,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,18,6.7,16.4,74,74,
