half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,78,78,
1,19,40,Alex Olah misses a layup shot.,116199,,true,false,false,Alex,,Olah,,NW,,0,0,0,0,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,78,78,
1,19,40,Melsahn Basabe with a defensive rebound.,97658,,true,false,false,Melsahn,,Basabe,,Iowa,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,74,74,
1,19,30,Roy Devyn Marble with a lost ball turnover: Lost Ball,97656,,true,false,false,Roy Devyn,,Marble,,Iowa,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,74,74,
1,19,18,JerShon Cobb misses a 3-point jump shot from 23 feet out.,97398,,true,false,false,JerShon,,Cobb,,NW,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-22.2,3.8,78,78,
1,19,18,Adam Woodbury with a defensive rebound.,116765,,true,false,false,Adam,,Woodbury,,Iowa,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,74,74,
1,19,08,Aaron White misses a jump shot from 19 feet out.,110455,,true,false,false,Aaron,,White,,Iowa,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,19,-9.9,15.7,74,74,
1,19,08,Iowa with an offensive rebound.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,74,74,
1,18,50,Mike Gesell makes a jump shot from 17 feet out. Aaron White with the assist.,116763,110455,true,true,false,Mike,Aaron,Gesell,White,Iowa,Iowa,0,2,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,17,3.7,16.4,74,74,
1,18,16,Shooting foul committed by Adam Woodbury.,116765,,true,false,false,Adam,,Woodbury,,Iowa,,0,2,1,0,1,,,,,0,,2,Shooting,8,Foul,,,,74,74,
1,18,16,Alex Olah makes free throw 1 of 2.,116199,,true,false,false,Alex,,Olah,,NW,,1,2,1,0,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,78,78,
1,18,16,Alex Olah makes free throw 2 of 2.,116199,,true,false,false,Alex,,Olah,,NW,,2,2,1,0,0,,,,,2,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,78,78,
1,17,58,Melsahn Basabe makes a layup shot. Roy Devyn Marble with the assist.,97658,97656,true,true,false,Melsahn,Roy Devyn,Basabe,Marble,Iowa,Iowa,2,4,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,74,74,
1,17,30,Alex Olah misses a jump shot from 8 feet out.,116199,,true,false,false,Alex,,Olah,,NW,,2,4,1,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,8,6,5,78,78,
1,17,30,Roy Devyn Marble with a defensive rebound.,97656,,true,false,false,Roy Devyn,,Marble,,Iowa,,2,4,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,74,74,
1,17,07,Roy Devyn Marble misses a jump shot from 14 feet out.,97656,,true,false,false,Roy Devyn,,Marble,,Iowa,,2,4,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,14,12.2,6,74,74,
1,17,07,Drew Crawford with a defensive rebound.,88698,,true,false,false,Drew,,Crawford,,NW,,2,4,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,16,53,JerShon Cobb with a 5 second violation turnover: 5 Second Violation,97398,,true,false,false,JerShon,,Cobb,,NW,,2,4,1,0,0,,,,,0,,9,5 Second Violation,7,Turnover,,,,78,78,
1,16,42,Melsahn Basabe with a traveling turnover: Traveling,97658,,true,false,false,Melsahn,,Basabe,,Iowa,,2,4,1,0,0,,,,,2,,4,Traveling,7,Turnover,,,,74,74,
1,16,24,Alex Olah misses a layup shot.,116199,,true,false,false,Alex,,Olah,,NW,,2,4,1,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,78,78,
1,16,24,Roy Devyn Marble with a defensive rebound.,97656,,true,false,false,Roy Devyn,,Marble,,Iowa,,2,4,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,74,74,
1,16,16,Aaron White makes a dunk shot. Mike Gesell with the assist.,110455,116763,true,true,false,Aaron,Mike,White,Gesell,Iowa,Iowa,2,6,1,0,0,,,,,2,2,48,Dunk Shot,3,Field Goal Made,0,0,0,74,74,
1,15,58,Drew Crawford misses a jump shot from 9 feet out.,88698,,true,false,false,Drew,,Crawford,,NW,,2,6,1,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,9,6,7,78,78,
1,15,58,Alex Olah with an offensive rebound.,116199,,true,false,false,Alex,,Olah,,NW,,2,6,1,0,0,,,,,2,,,,5,Offensive Rebound,,,,78,78,
1,15,56,Alex Olah misses a tip shot from 4 feet out.,116199,,true,false,false,Alex,,Olah,,NW,,2,6,1,0,0,,,,,2,2,53,Tip Shot,4,Field Goal Missed,4,1,4,78,78,
1,15,56,Roy Devyn Marble with a defensive rebound.,97656,,true,false,false,Roy Devyn,,Marble,,Iowa,,2,6,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,74,74,
1,15,53,Roy Devyn Marble with a traveling turnover: Traveling,97656,,true,false,false,Roy Devyn,,Marble,,Iowa,,2,6,1,0,0,,,,,0,,4,Traveling,7,Turnover,,,,74,74,
1,15,53,Official TV timeout.,,,false,false,false,,,,,,,2,6,1,0,0,,,,,0,,3,Official TV,11,Timeout,,,,78,78,
1,15,34,Drew Crawford misses a 3-point jump shot from 23 feet out.,88698,,true,false,false,Drew,,Crawford,,NW,,2,6,1,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-22.7,2.5,78,78,
1,15,34,Adam Woodbury with a defensive rebound.,116765,,true,false,false,Adam,,Woodbury,,Iowa,,2,6,1,0,1,,,,,0,,,,6,Defensive Rebound,,,,74,74,
1,15,13,Mike Gesell misses a jump shot from 18 feet out.,116763,,true,false,false,Mike,,Gesell,,Iowa,,2,6,1,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,18,-9.3,15.4,74,74,
1,15,13,JerShon Cobb with a defensive rebound.,97398,,true,false,false,JerShon,,Cobb,,NW,,2,6,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,14,57,Drew Crawford makes a 3-point jump shot from 25 feet out. JerShon Cobb with the assist.,88698,97398,true,true,false,Drew,JerShon,Crawford,Cobb,NW,NW,5,6,1,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,-10.3,23,78,78,
1,14,42,Jarrod Uthoff makes a jump shot from 19 feet out.,110237,,true,false,false,Jarrod,,Uthoff,,Iowa,,5,8,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,19,-9.1,16.2,74,74,
1,14,31,Sanjay Lumpkin with a lost ball turnover: Lost Ball,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,5,8,1,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,78,78,
1,14,25,Mike Gesell misses a layup shot.,116763,,true,false,false,Mike,,Gesell,,Iowa,,5,8,1,0,0,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,74,74,
1,14,25,JerShon Cobb with a defensive rebound.,97398,,true,false,false,JerShon,,Cobb,,NW,,5,8,1,0,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,14,21,Drew Crawford makes a 3-point jump shot from 22 feet out. Tre Demps with the assist.,88698,109549,true,true,false,Drew,Tre,Crawford,Demps,NW,NW,8,8,1,0,0,,,,,6,3,45,Jump Shot,3,Field Goal Made,22,22,1.9,78,78,
1,14,01,Adam Woodbury makes a jump shot from 17 feet out. Melsahn Basabe with the assist.,116765,97658,true,true,false,Adam,Melsahn,Woodbury,Basabe,Iowa,Iowa,8,10,1,0,1,,,,,2,2,45,Jump Shot,3,Field Goal Made,17,-8,15,74,74,
1,13,37,Drew Crawford misses a 3-point jump shot from 23 feet out.,88698,,true,false,false,Drew,,Crawford,,NW,,8,10,1,0,0,,,,,6,3,45,Jump Shot,4,Field Goal Missed,23,22,7.9,78,78,
1,13,37,Melsahn Basabe with a defensive rebound.,97658,,true,false,false,Melsahn,,Basabe,,Iowa,,8,10,1,0,0,,,,,2,,,,6,Defensive Rebound,,,,74,74,
1,13,20,Mike Gesell with a lost ball turnover: Lost Ball,116763,,true,false,false,Mike,,Gesell,,Iowa,,8,10,1,0,0,,,,,2,,2,Lost Ball,7,Turnover,,,,74,74,
1,12,59,Tre Demps makes a jump shot from 18 feet out. Dave Sobolewski with the assist.,109549,109548,true,true,false,Tre,Dave,Demps,Sobolewski,NW,NW,10,10,1,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,18,17.1,4.8,78,78,
1,12,42,Zach McCabe makes a layup shot. Jarrod Uthoff with the assist.,97657,110237,true,true,false,Zach,Jarrod,McCabe,Uthoff,Iowa,Iowa,10,12,1,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,74,74,
1,12,12,Personal foul committed by Jarrod Uthoff.,110237,,true,false,false,Jarrod,,Uthoff,,Iowa,,10,12,2,0,1,,,,,2,,1,Personal,8,Foul,,,,74,74,
1,12,01,Personal foul committed by Zach McCabe.,97657,,true,false,false,Zach,,McCabe,,Iowa,,10,12,3,0,1,,,,,2,,1,Personal,8,Foul,,,,74,74,
1,11,50,Drew Crawford misses a jump shot from 11 feet out.,88698,,true,false,false,Drew,,Crawford,,NW,,10,12,3,0,0,,,,,6,2,45,Jump Shot,4,Field Goal Missed,11,-5.5,9.1,78,78,
1,11,50,Gabriel Olaseni with a defensive rebound.,110453,,true,false,false,Gabriel,,Olaseni,,Iowa,,10,12,3,0,0,,,,,0,,,,6,Defensive Rebound,,,,74,74,
1,11,42,Gabriel Olaseni makes a layup shot. Roy Devyn Marble with the assist.,110453,97656,true,true,false,Gabriel,Roy Devyn,Olaseni,Marble,Iowa,Iowa,10,14,3,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,74,74,
1,11,42,Shooting foul committed by Nikola Cerina.,88767,,true,false,false,Nikola,,Cerina,,NW,,10,14,3,1,1,,,,,0,,2,Shooting,8,Foul,,,,78,78,
1,11,42,Official TV timeout.,,,false,false,false,,,,,,,10,14,3,1,0,,,,,0,,3,Official TV,11,Timeout,,,,78,78,
1,11,42,Gabriel Olaseni misses free throw 1 of 1.,110453,,true,false,false,Gabriel,,Olaseni,,Iowa,,10,14,3,1,0,,,,,2,1,10,Free Throw 1 of 1,2,Free Throw Missed,,,,74,74,
1,11,42,JerShon Cobb with a defensive rebound.,97398,,true,false,false,JerShon,,Cobb,,NW,,10,14,3,1,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,11,25,JerShon Cobb makes a layup shot. Drew Crawford with the assist.,97398,88698,true,true,false,JerShon,Drew,Cobb,Crawford,NW,NW,12,14,3,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,78,78,
1,11,11,Josh Oglesby makes a 3-point jump shot from 24 feet out.,110454,,true,false,false,Josh,,Oglesby,,Iowa,,12,17,3,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-17.9,15.7,74,74,
1,10,37,JerShon Cobb misses a 3-point jump shot from 24 feet out.,97398,,true,false,false,JerShon,,Cobb,,NW,,12,17,3,1,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,12.3,20.3,78,78,
1,10,37,Gabriel Olaseni with a defensive rebound.,110453,,true,false,false,Gabriel,,Olaseni,,Iowa,,12,17,3,1,0,,,,,2,,,,6,Defensive Rebound,,,,74,74,
1,10,17,Roy Devyn Marble with a lost ball turnover: Lost Ball,97656,,true,false,false,Roy Devyn,,Marble,,Iowa,,12,17,3,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,74,74,
1,10,07,Tre Demps misses a jump shot from 8 feet out.,109549,,true,false,false,Tre,,Demps,,NW,,12,17,3,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,8,-4.3,6.7,78,78,
1,10,07,Jarrod Uthoff with a defensive rebound.,110237,,true,false,false,Jarrod,,Uthoff,,Iowa,,12,17,3,1,1,,,,,2,,,,6,Defensive Rebound,,,,74,74,
1,9,57,Josh Oglesby misses a 3-point jump shot from 26 feet out.,110454,,true,false,false,Josh,,Oglesby,,Iowa,,12,17,3,1,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,26,-.3,26.3,74,74,
1,9,57,Gabriel Olaseni with an offensive rebound.,110453,,true,false,false,Gabriel,,Olaseni,,Iowa,,12,17,3,1,0,,,,,2,,,,5,Offensive Rebound,,,,74,74,
1,9,57,Gabriel Olaseni makes a layup shot.,110453,,true,false,false,Gabriel,,Olaseni,,Iowa,,12,19,3,1,0,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,74,74,
1,9,26,Drew Crawford misses a layup shot.,88698,,true,false,false,Drew,,Crawford,,NW,,12,19,3,1,0,,,,,6,2,40,Layup Shot,4,Field Goal Missed,0,0,0,78,78,
1,9,26,NW with an offensive rebound.,,,false,false,false,,,,,,,12,19,3,1,0,,,,,0,,,,5,Offensive Rebound,,,,78,78,
1,9,23,Tre Demps makes a jump shot from 9 feet out. JerShon Cobb with the assist.,109549,97398,true,true,false,Tre,JerShon,Demps,Cobb,NW,NW,14,19,3,1,0,,,,,4,2,45,Jump Shot,3,Field Goal Made,9,-3.5,8.6,78,78,
1,9,11,Personal foul committed by Kale Abrahamson.,116198,,true,false,false,Kale,,Abrahamson,,NW,,14,19,3,2,1,,,,,0,,1,Personal,8,Foul,,,,78,78,
1,9,00,Aaron White misses a 3-point jump shot from 24 feet out.,110455,,true,false,false,Aaron,,White,,Iowa,,14,19,3,2,0,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,-20,12.5,74,74,
1,9,00,NW with a defensive rebound.,,,false,false,false,,,,,,,14,19,3,2,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,8,45,Shooting foul committed by Mike Gesell.,116763,,true,false,false,Mike,,Gesell,,Iowa,,14,19,4,2,1,,,,,2,,2,Shooting,8,Foul,,,,74,74,
1,8,45,Alex Olah misses free throw 1 of 2.,116199,,true,false,false,Alex,,Olah,,NW,,14,19,4,2,0,,,,,2,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,78,78,
1,8,45,NW with an offensive rebound.,,,false,false,false,,,,,,,14,19,4,2,0,,,,,0,,,,5,Offensive Rebound,,,,78,78,
1,8,45,Alex Olah makes free throw 2 of 2.,116199,,true,false,false,Alex,,Olah,,NW,,15,19,4,2,0,,,,,3,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,78,78,
1,8,36,Adam Woodbury makes a layup shot. Mike Gesell with the assist.,116765,116763,true,true,false,Adam,Mike,Woodbury,Gesell,Iowa,Iowa,15,21,4,2,1,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,74,74,
1,8,09,Kale Abrahamson misses a 3-point jump shot from 24 feet out.,116198,,true,false,false,Kale,,Abrahamson,,NW,,15,21,4,2,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-21.7,10.1,78,78,
1,8,09,Alex Olah with an offensive rebound.,116199,,true,false,false,Alex,,Olah,,NW,,15,21,4,2,0,,,,,3,,,,5,Offensive Rebound,,,,78,78,
1,7,49,JerShon Cobb misses a jump shot from 13 feet out.,97398,,true,false,false,JerShon,,Cobb,,NW,,15,21,4,2,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,13,13.2,2.8,78,78,
1,7,49,Aaron White with a defensive rebound.,110455,,true,false,false,Aaron,,White,,Iowa,,15,21,4,2,0,,,,,2,,,,6,Defensive Rebound,,,,74,74,
1,7,30,Mike Gesell makes a layup shot. Zach McCabe with the assist.,116763,97657,true,true,false,Mike,Zach,Gesell,McCabe,Iowa,Iowa,15,23,4,2,1,,,,,4,2,40,Layup Shot,3,Field Goal Made,0,0,0,74,74,
1,7,07,Dave Sobolewski misses a 3-point jump shot from 24 feet out.,109548,,true,false,false,Dave,,Sobolewski,,NW,,15,23,4,2,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-22.5,8.1,78,78,
1,7,07,Iowa with a defensive rebound.,,,false,false,false,,,,,,,15,23,4,2,0,,,,,0,,,,6,Defensive Rebound,,,,74,74,
1,7,07,Official TV timeout.,,,false,false,false,,,,,,,15,23,4,2,0,,,,,0,,3,Official TV,11,Timeout,,,,78,78,
1,6,31,Mike Gesell misses a jump shot from 20 feet out.,116763,,true,false,false,Mike,,Gesell,,Iowa,,15,23,4,2,1,,,,,4,2,45,Jump Shot,4,Field Goal Missed,20,-9.8,17.8,74,74,
1,6,31,NW with a defensive rebound.,,,false,false,false,,,,,,,15,23,4,2,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,6,31,Iowa with a turnover: Shot Clock Turnover,,,false,false,false,,,,,,,15,23,4,2,0,,,,,0,,11,Shot Clock Turnover,7,Turnover,,,,74,74,
1,6,17,Personal foul committed by Anthony Clemmons.,116762,,true,false,false,Anthony,,Clemmons,,Iowa,,15,23,5,2,1,,,,,0,,1,Personal,8,Foul,,,,74,74,
1,5,42,Alex Olah misses a layup shot.,116199,,true,false,false,Alex,,Olah,,NW,,15,23,5,2,0,,,,,3,2,40,Layup Shot,4,Field Goal Missed,0,0,0,78,78,
1,5,42,Adam Woodbury with a defensive rebound.,116765,,true,false,false,Adam,,Woodbury,,Iowa,,15,23,5,2,1,,,,,4,,,,6,Defensive Rebound,,,,74,74,
1,5,28,Adam Woodbury misses a layup shot.,116765,,true,false,false,Adam,,Woodbury,,Iowa,,15,23,5,2,1,,,,,4,2,40,Layup Shot,4,Field Goal Missed,0,0,0,74,74,
1,5,28,JerShon Cobb with a defensive rebound.,97398,,true,false,false,JerShon,,Cobb,,NW,,15,23,5,2,0,,,,,2,,,,6,Defensive Rebound,,,,78,78,
1,4,57,Tre Demps misses a 3-point jump shot from 28 feet out.,109549,,true,false,false,Tre,,Demps,,NW,,15,23,5,2,0,,,,,4,3,45,Jump Shot,4,Field Goal Missed,28,13,25,78,78,
1,4,57,Mike Gesell with a defensive rebound.,116763,,true,false,false,Mike,,Gesell,,Iowa,,15,23,5,2,1,,,,,4,,,,6,Defensive Rebound,,,,74,74,
1,4,49,Mike Gesell misses a 3-point jump shot from 24 feet out.,116763,,true,false,false,Mike,,Gesell,,Iowa,,15,23,5,2,1,,,,,4,3,45,Jump Shot,4,Field Goal Missed,24,13,20,74,74,
1,4,49,Tre Demps with a defensive rebound.,109549,,true,false,false,Tre,,Demps,,NW,,15,23,5,2,0,,,,,4,,,,6,Defensive Rebound,,,,78,78,
1,4,32,Alex Olah misses a layup shot.,116199,,true,false,false,Alex,,Olah,,NW,,15,23,5,2,0,,,,,3,2,40,Layup Shot,4,Field Goal Missed,0,0,0,78,78,
1,4,32,NW with an offensive rebound.,,,false,false,false,,,,,,,15,23,5,2,0,,,,,0,,,,5,Offensive Rebound,,,,78,78,
1,4,14,Drew Crawford makes a jump shot from 8 feet out.,88698,,true,false,false,Drew,,Crawford,,NW,,17,23,5,2,0,,,,,8,2,45,Jump Shot,3,Field Goal Made,8,.1,8.2,78,78,
1,4,03,Personal foul committed by JerShon Cobb.,97398,,true,false,false,JerShon,,Cobb,,NW,,17,23,5,3,1,,,,,2,,1,Personal,8,Foul,,,,78,78,
1,3,50,Roy Devyn Marble misses a layup shot.,97656,,true,false,false,Roy Devyn,,Marble,,Iowa,,17,23,5,3,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,74,74,
1,3,50,Aaron White with an offensive rebound.,110455,,true,false,false,Aaron,,White,,Iowa,,17,23,5,3,0,,,,,2,,,,5,Offensive Rebound,,,,74,74,
1,3,48,Aaron White misses a tip shot from 4 feet out.,110455,,true,false,false,Aaron,,White,,Iowa,,17,23,5,3,0,,,,,2,2,53,Tip Shot,4,Field Goal Missed,4,0,4,74,74,
1,3,48,Drew Crawford with a defensive rebound.,88698,,true,false,false,Drew,,Crawford,,NW,,17,23,5,3,0,,,,,8,,,,6,Defensive Rebound,,,,78,78,
1,3,44,Drew Crawford makes a layup shot.,88698,,true,false,false,Drew,,Crawford,,NW,,19,23,5,3,0,,,,,10,2,40,Layup Shot,3,Field Goal Made,0,0,0,78,78,
1,3,31,Jarrod Uthoff with a lost ball turnover: Lost Ball,110237,,true,false,false,Jarrod,,Uthoff,,Iowa,,19,23,5,3,1,,,,,2,,2,Lost Ball,7,Turnover,,,,74,74,
1,3,30,Personal foul committed by Jarrod Uthoff.,110237,,true,false,false,Jarrod,,Uthoff,,Iowa,,19,23,6,3,2,,,,,2,,1,Personal,8,Foul,,,,74,74,
1,3,30,Official TV timeout.,,,false,false,false,,,,,,,19,23,6,3,0,,,,,0,,3,Official TV,11,Timeout,,,,78,78,
1,3,02,Offensive foul committed by JerShon Cobb.,97398,,true,false,false,JerShon,,Cobb,,NW,,19,23,6,4,2,,,,,2,,4,Offensive,8,Foul,,,,78,78,
1,3,02,JerShon Cobb with a  turnover:,97398,,true,false,false,JerShon,,Cobb,,NW,,19,23,6,4,2,,,,,2,,,,7,Turnover,,,,78,78,
1,2,43,Roy Devyn Marble misses a 3-point jump shot from 24 feet out.,97656,,true,false,false,Roy Devyn,,Marble,,Iowa,,19,23,6,4,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-21,11.5,74,74,
1,2,43,Gabriel Olaseni with an offensive rebound.,110453,,true,false,false,Gabriel,,Olaseni,,Iowa,,19,23,6,4,0,,,,,4,,,,5,Offensive Rebound,,,,74,74,
1,2,34,Gabriel Olaseni misses a layup shot.,110453,,true,false,false,Gabriel,,Olaseni,,Iowa,,19,23,6,4,0,,,,,4,2,40,Layup Shot,4,Field Goal Missed,0,0,0,74,74,
1,2,34,Aaron White with an offensive rebound.,110455,,true,false,false,Aaron,,White,,Iowa,,19,23,6,4,0,,,,,2,,,,5,Offensive Rebound,,,,74,74,
1,2,31,Aaron White with a lost ball turnover: Lost Ball,110455,,true,false,false,Aaron,,White,,Iowa,,19,23,6,4,0,,,,,2,,2,Lost Ball,7,Turnover,,,,74,74,
1,2,28,Tre Demps misses a layup shot.,109549,,true,false,false,Tre,,Demps,,NW,,19,23,6,4,0,,,,,4,2,40,Layup Shot,4,Field Goal Missed,0,0,0,78,78,
1,2,28,Gabriel Olaseni with a defensive rebound.,110453,,true,false,false,Gabriel,,Olaseni,,Iowa,,19,23,6,4,0,,,,,4,,,,6,Defensive Rebound,,,,74,74,
1,2,12,Zach McCabe misses a layup shot.,97657,,true,false,false,Zach,,McCabe,,Iowa,,19,23,6,4,1,,,,,2,2,40,Layup Shot,4,Field Goal Missed,0,0,0,74,74,
1,2,12,Gabriel Olaseni with an offensive rebound.,110453,,true,false,false,Gabriel,,Olaseni,,Iowa,,19,23,6,4,0,,,,,4,,,,5,Offensive Rebound,,,,74,74,
1,2,05,Gabriel Olaseni makes a dunk shot.,110453,,true,false,false,Gabriel,,Olaseni,,Iowa,,19,25,6,4,0,,,,,6,2,48,Dunk Shot,3,Field Goal Made,0,0,0,74,74,
1,1,36,Tre Demps makes a layup shot.,109549,,true,false,false,Tre,,Demps,,NW,,21,25,6,4,0,,,,,6,2,40,Layup Shot,3,Field Goal Made,0,0,0,78,78,
1,1,14,Zach McCabe makes a 3-point jump shot from 27 feet out. Josh Oglesby with the assist.,97657,110454,true,true,false,Zach,Josh,McCabe,Oglesby,Iowa,Iowa,21,28,6,4,1,,,,,5,3,45,Jump Shot,3,Field Goal Made,27,11.6,23.9,74,74,
1,1,14,NW take a 20-second timeout.,,,false,false,false,,,,,,,21,28,6,4,0,,,,,0,,2,Short,11,Timeout,,,,78,78,
1,1,06,Drew Crawford makes a layup shot. Kale Abrahamson with the assist.,88698,116198,true,true,false,Drew,Kale,Crawford,Abrahamson,NW,NW,23,28,6,4,0,,,,,12,2,40,Layup Shot,3,Field Goal Made,0,0,0,78,78,
1,1,06,Shooting foul committed by Zach McCabe.,97657,,true,false,false,Zach,,McCabe,,Iowa,,23,28,7,4,2,,,,,5,,2,Shooting,8,Foul,,,,74,74,
1,1,06,Drew Crawford makes free throw 1 of 1.,88698,,true,false,false,Drew,,Crawford,,NW,,24,28,7,4,0,,,,,13,1,10,Free Throw 1 of 1,1,Free Throw Made,,,,78,78,
