half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,77,77,
1,19,24,Elliott Eliason misses a hook shot from 7 feet out.,97668,,true,false,false,Elliott,,Eliason,,Minn,,0,0,0,0,0,,,,,0,2,55,Hook Shot,4,Field Goal Missed,7,2.3,6.7,77,77,
1,19,24,Sanjay Lumpkin with a defensive rebound.,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,19,05,Drew Crawford with a lost ball turnover: Lost Ball,88698,,true,false,false,Drew,,Crawford,,NW,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,78,78,
1,18,56,Elliott Eliason makes a layup shot. Austin Hollins with the assist.,97668,97669,true,true,false,Elliott,Austin,Eliason,Hollins,Minn,Minn,2,0,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,77,77,
1,18,36,Drew Crawford makes a 3-point jump shot from 24 feet out. Sanjay Lumpkin with the assist.,88698,116200,true,true,false,Drew,Sanjay,Crawford,Lumpkin,NW,NW,2,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,24,-8,22,78,78,
1,18,21,JerShon Cobb with a lost ball turnover: Lost Ball,97398,,true,false,false,JerShon,,Cobb,,NW,,2,3,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,78,78,
1,17,58,Deandre Mathieu misses a jump shot from 21 feet out.,110718,,true,false,false,Deandre,,Mathieu,,Minn,,2,3,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,21,2,20.5,77,77,
1,17,58,JerShon Cobb with a defensive rebound.,97398,,true,false,false,JerShon,,Cobb,,NW,,2,3,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,17,54,Kale Abrahamson makes a 3-point jump shot from 25 feet out. Drew Crawford with the assist.,116198,88698,true,true,false,Kale,Drew,Abrahamson,Crawford,NW,NW,2,6,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,13.7,21.5,78,78,
