half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,78,78,
1,19,46,Alex Olah makes a hook shot from 6 feet out. JerShon Cobb with the assist.,116199,97398,true,true,false,Alex,JerShon,Olah,Cobb,NW,NW,2,0,0,0,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,6,2,5,78,78,
1,19,20,Terran Petteway with a traveling turnover: Traveling,110830,,true,false,false,Terran,,Petteway,,Neb,,2,0,0,0,0,,,,,0,,4,Traveling,7,Turnover,,,,89,89,
1,19,11,Kale Abrahamson misses a 3-point jump shot from 22 feet out.,116198,,true,false,false,Kale,,Abrahamson,,NW,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-21.2,6.4,78,78,
1,19,11,Neb with a defensive rebound.,,,false,false,false,,,,,,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,89,89,
1,18,58,Walter Pitchford with a lost ball turnover: Lost Ball,110262,,true,false,false,Walter,,Pitchford,,Neb,,2,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,89,89,
1,18,45,JerShon Cobb misses a 3-point jump shot from 25 feet out.,97398,,true,false,false,JerShon,,Cobb,,NW,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,19.6,15,78,78,
1,18,45,Terran Petteway with a defensive rebound.,110830,,true,false,false,Terran,,Petteway,,Neb,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,89,89,
1,18,37,Terran Petteway misses a jump shot from 13 feet out.,110830,,true,false,false,Terran,,Petteway,,Neb,,2,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,13,3,13,89,89,
1,18,37,Terran Petteway with an offensive rebound.,110830,,true,false,false,Terran,,Petteway,,Neb,,2,0,0,0,0,,,,,0,,,,5,Offensive Rebound,,,,89,89,
1,18,20,Ray Gallegos misses a 3-point jump shot from 23 feet out.,88366,,true,false,false,Ray,,Gallegos,,Neb,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-2,22.5,89,89,
1,18,20,JerShon Cobb with a defensive rebound.,97398,,true,false,false,JerShon,,Cobb,,NW,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,18,10,Drew Crawford with a traveling turnover: Traveling,88698,,true,false,false,Drew,,Crawford,,NW,,2,0,0,0,0,,,,,0,,4,Traveling,7,Turnover,,,,78,78,
1,18,00,Terran Petteway makes a 3-point jump shot from 23 feet out. Tai Webster with the assist.,110830,122099,true,true,false,Terran,Tai,Petteway,Webster,Neb,Neb,2,3,0,0,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,23,21,9.3,89,89,
1,17,33,JerShon Cobb makes a jump shot from 20 feet out. Drew Crawford with the assist.,97398,88698,true,true,false,JerShon,Drew,Cobb,Crawford,NW,NW,4,3,0,0,0,,,,,2,2,45,Jump Shot,3,Field Goal Made,20,-5,20,78,78,
1,17,14,Personal foul committed by JerShon Cobb.,97398,,true,false,false,JerShon,,Cobb,,NW,,4,3,0,1,1,,,,,2,,1,Personal,8,Foul,,,,78,78,
1,17,14,Tai Webster with a lost ball turnover: Lost Ball,122099,,true,false,false,Tai,,Webster,,Neb,,4,3,0,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,89,89,
1,17,08,Personal foul committed by Walter Pitchford.,110262,,true,false,false,Walter,,Pitchford,,Neb,,4,3,1,1,1,,,,,0,,1,Personal,8,Foul,,,,89,89,
1,17,03,Drew Crawford misses a jump shot from 10 feet out.,88698,,true,false,false,Drew,,Crawford,,NW,,4,3,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,10,4,10,78,78,
1,17,03,Neb with a defensive rebound.,,,false,false,false,,,,,,,4,3,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,89,89,
1,16,51,Tai Webster misses a 3-point jump shot from 22 feet out.,122099,,true,false,false,Tai,,Webster,,Neb,,4,3,1,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,4.8,21.8,89,89,
1,16,51,Alex Olah with a defensive rebound.,116199,,true,false,false,Alex,,Olah,,NW,,4,3,1,1,0,,,,,2,,,,6,Defensive Rebound,,,,78,78,
1,16,37,Sanjay Lumpkin misses a jump shot from 6 feet out.,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,4,3,1,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,6,1,6,78,78,
1,16,37,Shavon Shields with a defensive rebound.,117684,,true,false,false,Shavon,,Shields,,Neb,,4,3,1,1,0,,,,,0,,,,6,Defensive Rebound,,,,89,89,
1,16,18,Terran Petteway misses a 3-point jump shot from 25 feet out.,110830,,true,false,false,Terran,,Petteway,,Neb,,4,3,1,1,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,25,-11.6,22,89,89,
1,16,18,Alex Olah with a defensive rebound.,116199,,true,false,false,Alex,,Olah,,NW,,4,3,1,1,0,,,,,2,,,,6,Defensive Rebound,,,,78,78,
1,16,02,Personal foul committed by Walter Pitchford.,110262,,true,false,false,Walter,,Pitchford,,Neb,,4,3,2,1,2,,,,,0,,1,Personal,8,Foul,,,,89,89,
1,15,59,Kale Abrahamson makes a layup shot. JerShon Cobb with the assist.,116198,97398,true,true,false,Kale,JerShon,Abrahamson,Cobb,NW,NW,6,3,2,1,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,78,78,
1,15,39,Terran Petteway misses a jump shot from 18 feet out.,110830,,true,false,false,Terran,,Petteway,,Neb,,6,3,2,1,0,,,,,3,2,45,Jump Shot,4,Field Goal Missed,18,13,12,89,89,
1,15,39,Neb with an offensive rebound.,,,false,false,false,,,,,,,6,3,2,1,0,,,,,0,,,,5,Offensive Rebound,,,,89,89,
1,15,39,Official TV timeout.,,,false,false,false,,,,,,,6,3,2,1,0,,,,,0,,3,Official TV,11,Timeout,,,,78,78,
1,15,18,David Rivers misses a jump shot from 18 feet out.,110301,,true,false,false,David,,Rivers,,Neb,,6,3,2,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,15.2,9.6,89,89,
1,15,18,Drew Crawford with a defensive rebound.,88698,,true,false,false,Drew,,Crawford,,NW,,6,3,2,1,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,14,59,Drew Crawford misses a jump shot from 11 feet out.,88698,,true,false,false,Drew,,Crawford,,NW,,6,3,2,1,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,11,-2,11,78,78,
1,14,59,David Rivers with a defensive rebound.,110301,,true,false,false,David,,Rivers,,Neb,,6,3,2,1,0,,,,,0,,,,6,Defensive Rebound,,,,89,89,
1,14,29,Ray Gallegos makes a 3-point jump shot from 25 feet out. David Rivers with the assist.,88366,110301,true,true,false,Ray,David,Gallegos,Rivers,Neb,Neb,6,6,2,1,0,,,,,3,3,45,Jump Shot,3,Field Goal Made,25,8.2,23.2,89,89,
1,14,10,Alex Olah misses a jump shot from 16 feet out.,116199,,true,false,false,Alex,,Olah,,NW,,6,6,2,1,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,16,-14.7,5.3,78,78,
1,14,10,NW with an offensive rebound.,,,false,false,false,,,,,,,6,6,2,1,0,,,,,0,,,,5,Offensive Rebound,,,,78,78,
1,13,38,Sanjay Lumpkin with a lost ball turnover: Lost Ball,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,6,6,2,1,0,,,,,0,,2,Lost Ball,7,Turnover,,,,78,78,
1,13,32,Ray Gallegos makes a layup shot.,88366,,true,false,false,Ray,,Gallegos,,Neb,,6,8,2,1,0,,,,,5,2,40,Layup Shot,3,Field Goal Made,0,0,0,89,89,
1,13,16,Personal foul committed by Benny Parker.,117682,,true,false,false,Benny,,Parker,,Neb,,6,8,3,1,1,,,,,0,,1,Personal,8,Foul,,,,89,89,
1,13,08,Shooting foul committed by Shavon Shields.,117684,,true,false,false,Shavon,,Shields,,Neb,,6,8,4,1,1,,,,,0,,2,Shooting,8,Foul,,,,89,89,
1,13,08,Drew Crawford misses free throw 1 of 2.,88698,,true,false,false,Drew,,Crawford,,NW,,6,8,4,1,0,,,,,0,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,78,78,
1,13,08,NW with an offensive rebound.,,,false,false,false,,,,,,,6,8,4,1,0,,,,,0,,,,5,Offensive Rebound,,,,78,78,
1,13,08,Drew Crawford makes free throw 2 of 2.,88698,,true,false,false,Drew,,Crawford,,NW,,7,8,4,1,0,,,,,1,1,12,Free Throw 2 of 2,1,Free Throw Made,,,,78,78,
1,12,51,Ray Gallegos misses a 3-point jump shot from 23 feet out.,88366,,true,false,false,Ray,,Gallegos,,Neb,,7,8,4,1,0,,,,,5,3,45,Jump Shot,4,Field Goal Missed,23,-8.9,20.8,89,89,
1,12,51,Drew Crawford with a defensive rebound.,88698,,true,false,false,Drew,,Crawford,,NW,,7,8,4,1,0,,,,,1,,,,6,Defensive Rebound,,,,78,78,
1,12,41,Drew Crawford misses a 3-point jump shot from 24 feet out.,88698,,true,false,false,Drew,,Crawford,,NW,,7,8,4,1,0,,,,,1,3,45,Jump Shot,4,Field Goal Missed,24,-9.9,21.5,78,78,
1,12,41,David Rivers with a defensive rebound.,110301,,true,false,false,David,,Rivers,,Neb,,7,8,4,1,0,,,,,0,,,,6,Defensive Rebound,,,,89,89,
1,12,17,Ray Gallegos with a lost ball turnover: Lost Ball,88366,,true,false,false,Ray,,Gallegos,,Neb,,7,8,4,1,0,,,,,5,,2,Lost Ball,7,Turnover,,,,89,89,
1,12,13,Offensive foul committed by Sanjay Lumpkin.,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,7,8,4,2,1,,,,,0,,4,Offensive,8,Foul,,,,78,78,
1,12,13,Sanjay Lumpkin with a  turnover:,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,7,8,4,2,1,,,,,0,,,,7,Turnover,,,,78,78,
1,11,56,Offensive foul committed by Terran Petteway.,110830,,true,false,false,Terran,,Petteway,,Neb,,7,8,5,2,1,,,,,3,,4,Offensive,8,Foul,,,,89,89,
1,11,56,Terran Petteway with a  turnover:,110830,,true,false,false,Terran,,Petteway,,Neb,,7,8,5,2,1,,,,,3,,,,7,Turnover,,,,89,89,
1,11,56,Official TV timeout.,,,false,false,false,,,,,,,7,8,5,2,0,,,,,0,,3,Official TV,11,Timeout,,,,78,78,
1,11,36,Personal foul committed by Benny Parker.,117682,,true,false,false,Benny,,Parker,,Neb,,7,8,6,2,2,,,,,0,,1,Personal,8,Foul,,,,89,89,
1,11,19,JerShon Cobb makes a 3-point jump shot from 24 feet out. Drew Crawford with the assist.,97398,88698,true,true,false,JerShon,Drew,Cobb,Crawford,NW,NW,10,8,6,2,1,,,,,5,3,45,Jump Shot,3,Field Goal Made,24,16.1,17.4,78,78,
1,10,59,Walter Pitchford makes a jump shot from 13 feet out.,110262,,true,false,false,Walter,,Pitchford,,Neb,,10,10,6,2,2,,,,,2,2,45,Jump Shot,3,Field Goal Made,13,13,1.3,89,89,
1,10,24,JerShon Cobb misses a 3-point jump shot from 23 feet out.,97398,,true,false,false,JerShon,,Cobb,,NW,,10,10,6,2,1,,,,,5,3,45,Jump Shot,4,Field Goal Missed,23,-8.9,21.3,78,78,
1,10,24,Neb with a defensive rebound.,,,false,false,false,,,,,,,10,10,6,2,0,,,,,0,,,,6,Defensive Rebound,,,,89,89,
1,10,09,Shavon Shields misses a 3-point jump shot from 22 feet out.,117684,,true,false,false,Shavon,,Shields,,Neb,,10,10,6,2,1,,,,,0,3,45,Jump Shot,4,Field Goal Missed,22,-21.2,4,89,89,
1,10,09,Drew Crawford with a defensive rebound.,88698,,true,false,false,Drew,,Crawford,,NW,,10,10,6,2,0,,,,,1,,,,6,Defensive Rebound,,,,78,78,
1,9,50,JerShon Cobb makes a layup shot.,97398,,true,false,false,JerShon,,Cobb,,NW,,12,10,6,2,1,,,,,7,2,40,Layup Shot,3,Field Goal Made,0,0,0,78,78,
1,9,25,Terran Petteway misses a layup shot.,110830,,true,false,false,Terran,,Petteway,,Neb,,12,10,6,2,1,,,,,3,2,40,Layup Shot,4,Field Goal Missed,0,0,0,89,89,
1,9,25,Walter Pitchford with an offensive rebound.,110262,,true,false,false,Walter,,Pitchford,,Neb,,12,10,6,2,2,,,,,2,,,,5,Offensive Rebound,,,,89,89,
1,9,23,Personal foul committed by JerShon Cobb.,97398,,true,false,false,JerShon,,Cobb,,NW,,12,10,6,3,2,,,,,7,,1,Personal,8,Foul,,,,78,78,
1,9,02,Walter Pitchford misses a 3-point jump shot from 24 feet out.,110262,,true,false,false,Walter,,Pitchford,,Neb,,12,10,6,3,2,,,,,2,3,45,Jump Shot,4,Field Goal Missed,24,-6.5,22.7,89,89,
1,9,02,Tre Demps with a defensive rebound.,109549,,true,false,false,Tre,,Demps,,NW,,12,10,6,3,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,8,39,Alex Olah with a bad pass turnover: Bad Pass,116199,,true,false,false,Alex,,Olah,,NW,,12,10,6,3,0,,,,,2,,1,Bad Pass,7,Turnover,,,,78,78,
1,8,26,Nathan Hawkins misses a 3-point jump shot from 24 feet out.,122097,,true,false,false,Nathan,,Hawkins,,Neb,,12,10,6,3,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,-6,23,89,89,
1,8,26,Alex Olah with a defensive rebound.,116199,,true,false,false,Alex,,Olah,,NW,,12,10,6,3,0,,,,,2,,,,6,Defensive Rebound,,,,78,78,
1,8,10,Drew Crawford misses a jump shot from 20 feet out.,88698,,true,false,false,Drew,,Crawford,,NW,,12,10,6,3,0,,,,,1,2,45,Jump Shot,4,Field Goal Missed,20,-7.7,17.9,78,78,
1,8,10,Walter Pitchford with a defensive rebound.,110262,,true,false,false,Walter,,Pitchford,,Neb,,12,10,6,3,2,,,,,2,,,,6,Defensive Rebound,,,,89,89,
1,8,10,Neb take a 20-second timeout.,,,false,false,false,,,,,,,12,10,6,3,0,,,,,0,,2,Short,11,Timeout,,,,89,89,
1,7,57,Terran Petteway misses a jump shot from 10 feet out.,110830,,true,false,false,Terran,,Petteway,,Neb,,12,10,6,3,1,,,,,3,2,45,Jump Shot,4,Field Goal Missed,10,10.5,.2,89,89,
1,7,57,Sanjay Lumpkin with a defensive rebound.,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,12,10,6,3,1,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,7,40,Drew Crawford with a lost ball turnover: Lost Ball,88698,,true,false,false,Drew,,Crawford,,NW,,12,10,6,3,0,,,,,1,,2,Lost Ball,7,Turnover,,,,78,78,
1,7,40,Official TV timeout.,,,false,false,false,,,,,,,12,10,6,3,0,,,,,0,,3,Official TV,11,Timeout,,,,78,78,
1,7,12,Shavon Shields misses a jump shot from 21 feet out.,117684,,true,false,false,Shavon,,Shields,,Neb,,12,10,6,3,1,,,,,0,2,45,Jump Shot,4,Field Goal Missed,21,6.5,19.5,89,89,
1,7,12,Ray Gallegos with an offensive rebound.,88366,,true,false,false,Ray,,Gallegos,,Neb,,12,10,6,3,0,,,,,5,,,,5,Offensive Rebound,,,,89,89,
1,6,46,Ray Gallegos misses a jump shot from 20 feet out.,88366,,true,false,false,Ray,,Gallegos,,Neb,,12,10,6,3,0,,,,,5,2,45,Jump Shot,4,Field Goal Missed,20,5.5,18.8,89,89,
1,6,46,Kale Abrahamson with a defensive rebound.,116198,,true,false,false,Kale,,Abrahamson,,NW,,12,10,6,3,0,,,,,2,,,,6,Defensive Rebound,,,,78,78,
1,6,29,Sanjay Lumpkin misses a layup shot.,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,12,10,6,3,1,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,78,78,
1,6,29,Alex Olah with an offensive rebound.,116199,,true,false,false,Alex,,Olah,,NW,,12,10,6,3,0,,,,,2,,,,5,Offensive Rebound,,,,78,78,
1,6,27,Alex Olah misses a tip shot from 3 feet out.,116199,,true,false,false,Alex,,Olah,,NW,,12,10,6,3,0,,,,,2,2,53,Tip Shot,4,Field Goal Missed,3,1.8,3,78,78,
1,6,27,NW with an offensive rebound.,,,false,false,false,,,,,,,12,10,6,3,0,,,,,0,,,,5,Offensive Rebound,,,,78,78,
1,6,00,Alex Olah makes a 3-point jump shot from 22 feet out. Tre Demps with the assist.,116199,109549,true,true,false,Alex,Tre,Olah,Demps,NW,NW,15,10,6,3,0,,,,,5,3,45,Jump Shot,3,Field Goal Made,22,20.2,9.4,78,78,
1,5,30,Terran Petteway with a lost ball turnover: Lost Ball,110830,,true,false,false,Terran,,Petteway,,Neb,,15,10,6,3,1,,,,,3,,2,Lost Ball,7,Turnover,,,,89,89,
1,5,19,Personal foul committed by Leslee Smith.,97357,,true,false,false,Leslee,,Smith,,Neb,,15,10,7,3,1,,,,,0,,1,Personal,8,Foul,,,,89,89,
1,5,19,Kale Abrahamson makes free throw 1st of 1-and-1.,116198,,true,false,false,Kale,,Abrahamson,,NW,,16,10,7,3,0,,,,,3,1,8,Free Throw 1st of 1-and-1,1,Free Throw Made,,,,78,78,
1,5,19,Kale Abrahamson misses free throw 2nd of 1-and-1.,116198,,true,false,false,Kale,,Abrahamson,,NW,,16,10,7,3,0,,,,,3,1,9,Free Throw 2nd of 1-and-1,2,Free Throw Missed,,,,78,78,
1,5,19,Terran Petteway with a defensive rebound.,110830,,true,false,false,Terran,,Petteway,,Neb,,16,10,7,3,1,,,,,3,,,,6,Defensive Rebound,,,,89,89,
1,5,04,Terran Petteway misses a 3-point jump shot from 24 feet out.,110830,,true,false,false,Terran,,Petteway,,Neb,,16,10,7,3,1,,,,,3,3,45,Jump Shot,4,Field Goal Missed,24,-12.8,20.1,89,89,
1,5,04,NW with a defensive rebound.,,,false,false,false,,,,,,,16,10,7,3,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,4,31,Tre Demps misses a layup shot.,109549,,true,false,false,Tre,,Demps,,NW,,16,10,7,3,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,78,78,
1,4,31,Shavon Shields with a defensive rebound.,117684,,true,false,false,Shavon,,Shields,,Neb,,16,10,7,3,1,,,,,0,,,,6,Defensive Rebound,,,,89,89,
1,4,24,Shavon Shields makes a layup shot.,117684,,true,false,false,Shavon,,Shields,,Neb,,16,12,7,3,1,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,89,89,
1,3,50,Shooting foul committed by Shavon Shields.,117684,,true,false,false,Shavon,,Shields,,Neb,,16,12,8,3,2,,,,,2,,2,Shooting,8,Foul,,,,89,89,
1,3,50,Official TV timeout.,,,false,false,false,,,,,,,16,12,8,3,0,,,,,0,,3,Official TV,11,Timeout,,,,78,78,
1,3,50,Kale Abrahamson misses free throw 1 of 2.,116198,,true,false,false,Kale,,Abrahamson,,NW,,16,12,8,3,0,,,,,3,1,11,Free Throw 1 of 2,2,Free Throw Missed,,,,78,78,
1,3,50,NW with an offensive rebound.,,,false,false,false,,,,,,,16,12,8,3,0,,,,,0,,,,5,Offensive Rebound,,,,78,78,
