half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,79,79,
1,19,40,Amir Williams makes a hook shot from 8 feet out.,110165,,true,false,false,Amir,,Williams,,OhioSt,,2,0,0,0,0,,,,,2,2,55,Hook Shot,3,Field Goal Made,8,7.4,3.8,79,79,
1,19,04,Alex Olah misses a 3-point jump shot from 24 feet out.,116199,,true,false,false,Alex,,Olah,,NW,,2,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,24,.3,23.7,78,78,
1,19,04,Lenzelle Smith Jr. with a defensive rebound.,97510,,true,false,false,Lenzelle,,Smith Jr.,,OhioSt,,2,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,79,79,
1,18,58,Lenzelle Smith Jr. with a bad pass turnover: Bad Pass,97510,,true,false,false,Lenzelle,,Smith Jr.,,OhioSt,,2,0,0,0,0,,,,,0,,1,Bad Pass,7,Turnover,,,,79,79,
1,18,36,Alex Olah makes a layup shot.,116199,,true,false,false,Alex,,Olah,,NW,,2,2,0,0,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,78,78,
1,18,15,Amir Williams misses a jump shot from 7 feet out.,110165,,true,false,false,Amir,,Williams,,OhioSt,,2,2,0,0,0,,,,,2,2,45,Jump Shot,4,Field Goal Missed,7,.1,7.4,79,79,
1,18,15,Alex Olah with a defensive rebound.,116199,,true,false,false,Alex,,Olah,,NW,,2,2,0,0,0,,,,,2,,,,6,Defensive Rebound,,,,78,78,
1,18,04,Drew Crawford misses a 3-point jump shot from 23 feet out.,88698,,true,false,false,Drew,,Crawford,,NW,,2,2,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,-.6,22.9,78,78,
1,18,04,Aaron Craft with a defensive rebound.,97508,,true,false,false,Aaron,,Craft,,OhioSt,,2,2,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,79,79,
