half,time-minutes,time-seconds,details,player1-id,player2-id,player1-linkable,player2-linkable,player3-linkable,player-first-name-1,player-first-name-2,player-last-name-1,player-last-name-2,player-team-alias-1,player-team-alias-2,home-score,visitor-score,visitor-fouls,home-fouls,player-fouls,fastbreak,in-paint,second-chance,off-turnover,player-score,points-type,detail-id,detail-desc,event-id,event-desc,distance,x-coord,y-coord,team-id-1,team-id-2,team-id-3
1,20,00,Start of the 1st Half,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,14,Start Period,,,,78,78,
1,19,48,Yogi Ferrell misses a jump shot from 17 feet out.,116724,,true,false,false,Yogi,,Ferrell,,Ind,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,17,5,16,73,73,
1,19,48,NW with a defensive rebound.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,19,18,Tre Demps with a lost ball turnover: Lost Ball,109549,,true,false,false,Tre,,Demps,,NW,,0,0,0,0,0,,,,,0,,2,Lost Ball,7,Turnover,,,,78,78,
1,18,57,Will Sheehey misses a jump shot from 18 feet out.,97590,,true,false,false,Will,,Sheehey,,Ind,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,8,16,73,73,
1,18,57,NW with a defensive rebound.,,,false,false,false,,,,,,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,18,29,Tre Demps misses a jump shot from 18 feet out.,109549,,true,false,false,Tre,,Demps,,NW,,0,0,0,0,0,,,,,0,2,45,Jump Shot,4,Field Goal Missed,18,-5,17,78,78,
1,18,29,Yogi Ferrell with a defensive rebound.,116724,,true,false,false,Yogi,,Ferrell,,Ind,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,73,73,
1,18,00,Austin Etherington misses a 3-point jump shot from 23 feet out.,109543,,true,false,false,Austin,,Etherington,,Ind,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,23,23,1,73,73,
1,18,00,Dave Sobolewski with a defensive rebound.,109548,,true,false,false,Dave,,Sobolewski,,NW,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,17,53,Tre Demps misses a 3-point jump shot from 25 feet out.,109549,,true,false,false,Tre,,Demps,,NW,,0,0,0,0,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-10,23,78,78,
1,17,53,Troy Williams with a defensive rebound.,121077,,true,false,false,Troy,,Williams,,Ind,,0,0,0,0,0,,,,,0,,,,6,Defensive Rebound,,,,73,73,
1,17,49,Shooting foul committed by Sanjay Lumpkin.,116200,,true,false,false,Sanjay,,Lumpkin,,NW,,0,0,0,1,1,,,,,0,,2,Shooting,8,Foul,,,,78,78,
1,17,49,Will Sheehey makes free throw 1 of 2.,97590,,true,false,false,Will,,Sheehey,,Ind,,0,1,0,1,0,,,,,1,1,11,Free Throw 1 of 2,1,Free Throw Made,,,,73,73,
1,17,49,Will Sheehey misses free throw 2 of 2.,97590,,true,false,false,Will,,Sheehey,,Ind,,0,1,0,1,0,,,,,1,1,12,Free Throw 2 of 2,2,Free Throw Missed,,,,73,73,
1,17,49,Alex Olah with a defensive rebound.,116199,,true,false,false,Alex,,Olah,,NW,,0,1,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,17,28,Drew Crawford misses a 3-point jump shot from 25 feet out.,88698,,true,false,false,Drew,,Crawford,,NW,,0,1,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,25,-17.6,17.1,78,78,
1,17,28,Will Sheehey with a defensive rebound.,97590,,true,false,false,Will,,Sheehey,,Ind,,0,1,0,1,0,,,,,1,,,,6,Defensive Rebound,,,,73,73,
1,17,20,Yogi Ferrell with a bad pass turnover: Bad Pass,116724,,true,false,false,Yogi,,Ferrell,,Ind,,0,1,0,1,0,,,,,0,,1,Bad Pass,7,Turnover,,,,73,73,
1,16,56,Dave Sobolewski misses a 3-point jump shot from 26 feet out.,109548,,true,false,false,Dave,,Sobolewski,,NW,,0,1,0,1,0,,,,,0,3,45,Jump Shot,4,Field Goal Missed,26,-9.6,24.6,78,78,
1,16,56,Austin Etherington with a defensive rebound.,109543,,true,false,false,Austin,,Etherington,,Ind,,0,1,0,1,0,,,,,0,,,,6,Defensive Rebound,,,,73,73,
1,16,49,Personal foul committed by Dave Sobolewski.,109548,,true,false,false,Dave,,Sobolewski,,NW,,0,1,0,2,1,,,,,0,,1,Personal,8,Foul,,,,78,78,
1,16,39,Noah Vonleh misses a layup shot.,121075,,true,false,false,Noah,,Vonleh,,Ind,,0,1,0,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,73,73,
1,16,39,Will Sheehey with an offensive rebound.,97590,,true,false,false,Will,,Sheehey,,Ind,,0,1,0,2,0,,,,,1,,,,5,Offensive Rebound,,,,73,73,
1,16,33,Will Sheehey makes a layup shot.,97590,,true,false,false,Will,,Sheehey,,Ind,,0,3,0,2,0,,,,,3,2,40,Layup Shot,3,Field Goal Made,0,0,0,73,73,
1,16,08,Alex Olah makes a layup shot. Dave Sobolewski with the assist.,116199,109548,true,true,false,Alex,Dave,Olah,Sobolewski,NW,NW,2,3,0,2,0,,,,,2,2,40,Layup Shot,3,Field Goal Made,0,0,0,78,78,
1,15,57,Will Sheehey misses a 3-point jump shot from 23 feet out.,97590,,true,false,false,Will,,Sheehey,,Ind,,2,3,0,2,0,,,,,3,3,45,Jump Shot,4,Field Goal Missed,23,-2,22.7,73,73,
1,15,57,Drew Crawford with a defensive rebound.,88698,,true,false,false,Drew,,Crawford,,NW,,2,3,0,2,0,,,,,0,,,,6,Defensive Rebound,,,,78,78,
1,15,50,Drew Crawford misses a layup shot.,88698,,true,false,false,Drew,,Crawford,,NW,,2,3,0,2,0,,,,,0,2,40,Layup Shot,4,Field Goal Missed,0,0,0,78,78,
